station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Benjamin Godard - Victor Hugo,16107,0,1,1,35,"[48.865983, 2.275725]"
Charcot - Benfleet,32304,2,8,10,28,"[48.878370277021, 2.440523876268]"
Charonne - Robert et Sonia Delaunay,11104,1,0,1,20,"[48.855907555969, 2.3925706744194]"
Place Nelson Mandela,25006,6,2,8,22,"[48.862453313908, 2.1961666225454]"
Jean Rostand - Paul Vaillant Couturier,30002,16,9,25,40,"[48.908168131015, 2.4530601033354]"
Guersant - Gouvion-Saint-Cyr,17041,7,12,19,36,"[48.88287775178599, 2.287667370814871]"
Froment - Bréguet,11025,4,33,37,43,"[48.8570414504784, 2.37289470306807]"
Morillons - Dantzig,15047,3,9,12,52,"[48.83310149953933, 2.299380004405976]"
Jouffroy d'Abbans - Wagram,17026,1,7,8,40,"[48.881973298352, 2.301132157445]"
Beaux-Arts - Bonaparte,6021,6,10,16,20,"[48.856451985396, 2.3348518833518]"
Thouin - Cardinal Lemoine,5016,10,6,16,17,"[48.845047166615, 2.3494647851273]"
Le Brix et Mesmin - Jourdan,14108,0,1,1,21,"[48.82234096593411, 2.327861653302471]"
Mairie de Clichy,21108,2,12,14,51,"[48.903653634661, 2.3059353232384]"
Porte de Saint-Ouen - Bessières,17044,2,2,4,42,"[48.89792240854517, 2.32851451022192]"
Ramponeau - Belleville,20143,3,1,4,44,"[48.871031137596, 2.379056852114]"
Général Martial Valin - Pont du Garigliano,15068,2,9,11,16,"[48.83823094269141, 2.270506024360657]"
Raspail Barbès,31028,4,1,5,28,"[48.8529945, 2.4247387]"
8 Mai 1945 - 10 Juillet 1940,44010,3,12,15,30,"[48.784567029674, 2.3979035764933]"
Tour d'Auvergne - Rodier,9008,1,1,2,17,"[48.879161, 2.343698]"
Liard - Amiral Mouchez,14013,2,1,3,28,"[48.8214169, 2.342167]"
Youri Gagarine - Karl Marx,48003,5,1,6,22,"[48.78448485079149, 2.35908430069685]"
Octave Feuillet - Albéric Magnard,16110,13,3,16,21,"[48.86106902949534, 2.2730283066630363]"
